1.00000  0.0000
0.99668  0.0010300
0.98719  0.0043100
0.97251  0.0098200
0.95355  0.016950
0.93072  0.024790
0.90391  0.032620
0.87287  0.040290
0.83778  0.047980
0.79915  0.055720
0.75749  0.063410
0.71333  0.070950
0.66724  0.078160
0.61980  0.084890
0.57161  0.090940
0.52324  0.096070
0.47526  0.10005
0.42820  0.10249
0.38228  0.10294
0.33736  0.10133
0.29361  0.098070
0.25149  0.093430
0.21146  0.087580
0.17395  0.080680
0.13934  0.072880
0.10801  0.064340
0.08026  0.055190
0.05636  0.045620
0.03651  0.035800
0.02088  0.025960
0.00954  0.016380
0.00255  0.0074800
0.00018  0.0015900
0.00000  0.0000
0.00021  -0.0014600
0.00093  -0.0027400
0.00216  -0.0040300
0.00367  -0.0052500
0.01367  -0.010350
0.02920  -0.015180
0.04998  -0.019600
0.07580  -0.023620
0.10637  -0.027290
0.14133  -0.030910
0.17965  -0.034860
0.21987  -0.038550
0.26153  -0.040640
0.30497  -0.040510
0.35027  -0.037940
0.39779  -0.032800
0.44785  -0.025630
0.50032  -0.017200
0.55484  -0.0084100
0.61055  -0.0001500
0.66644  0.0069900
0.72142  0.012540
0.77434  0.016210
0.82409  0.017840
0.86953  0.017410
0.90945  0.014980
0.94257  0.011130
0.96813  0.0068900
0.98604  0.0032400
0.99655  0.0008400
1.00000  0.0000
