NACA 63218
1 0 
0.999013 0.000114664 
0.996057 0.000460691 
0.991142 0.00105287 
0.984289 0.00191249 
0.975524 0.00306763 
0.964882 0.00455075 
0.952405 0.00639579 
0.938142 0.00863509 
0.92215 0.0112962 
0.904492 0.014399 
0.885236 0.017953 
0.864461 0.0219558 
0.842246 0.026391 
0.81868 0.0312279 
0.793856 0.0364208 
0.767873 0.0419106 
0.740831 0.0476255 
0.712839 0.0534842 
0.684007 0.0593976 
0.654448 0.0652711 
0.624279 0.0710058 
0.593619 0.0764992 
0.56259 0.081646 
0.531313 0.0863408 
0.499912 0.0904812 
0.468511 0.0939729 
0.437235 0.0967347 
0.406205 0.0987021 
0.375545 0.0998275 
0.345377 0.100078 
0.315818 0.0994328 
0.286985 0.099129 
0.258993 0.0992153 
0.205968 0.0904909 
0.181144 0.0852777 
0.157579 0.080755 
0.135364 0.0758666 
0.114618 0.0705616 
0.0954781 0.0649604 
0.0778743 0.0590911 
0.0617241 0.0529255 
0.0472644 0.0465495 
0.0347424 0.0401092 
0.0241485 0.0336977 
0.0155432 0.0273696 
0.00876283 0.0210006 
0.003954 0.0147257 
0.000172958 0.0048908 
0 0 
0.000402461 -0.00279093 
0.00333887 -0.0097209 
0.0087745 -0.0164062 
0.0157357 -0.0222851 
0.0243327 -0.0278492 
0.0347526 -0.0332845 
0.0472193 -0.0386697 
0.0617169 -0.0439537 
0.0778743 -0.0489884 
0.0955328 -0.053735 
0.114654 -0.0582114 
0.135364 -0.0624366 
0.157579 -0.0663537 
0.181144 -0.0698885 
0.205968 -0.072978 
0.231952 -0.0755593 
0.258993 -0.0775703 
0.286985 -0.0789527 
0.315818 -0.0796546 
0.345377 -0.0796316 
0.375545 -0.0788487 
0.406205 -0.0772797 
0.437235 -0.0749726 
0.468511 -0.0719862 
0.499912 -0.0683924 
0.531313 -0.064276 
0.56259 -0.0597315 
0.593619 -0.0548601 
0.624279 -0.0497653 
0.654448 -0.0445508 
0.684007 -0.0393179 
0.712839 -0.0341633 
0.740831 -0.0291773 
0.767873 -0.0244409 
0.793856 -0.0200233 
0.81868 -0.0159795 
0.842246 -0.0123491 
0.864461 -0.00915657 
0.885236 -0.00641421 
0.904492 -0.00412749 
0.92215 -0.00230583 
0.938142 -0.000983279 
0.952405 -0.000263536 
0.964882 3.67481e-05 
0.975524 0.000118482 
0.984289 0.000123215 
0.991142 8.75636e-05 
0.996057 4.09884e-05 
0.999013 -1.40461e-07 
1 0 
