 time, Cp (power coef.), Ct (thust coef.)
    1.0526317156254851E+02    2.8136383131717324E-01    3.7676065914308954E-01
    1.0526369787840632E+02    2.8087938606684232E-01    3.7640825336711325E-01
    1.0526422419426413E+02    2.8036927683059321E-01    3.7602787791983017E-01
    1.0526475051012194E+02    2.7984853167934060E-01    3.7564186170096953E-01
    1.0526527682597975E+02    2.7933384314989329E-01    3.7525863705523294E-01
    1.0526580314183757E+02    2.7817961197344798E-01    3.7453526697963530E-01
    1.0526632945769538E+02    2.7766662783554280E-01    3.7415483353904427E-01
    1.0526685577355319E+02    2.7716382232682657E-01    3.7377935240810939E-01
    1.0526738208941100E+02    2.7666866886272079E-01    3.7340770117610550E-01
    1.0526790840526881E+02    2.7617872842232111E-01    3.7303841779068087E-01
    1.0526843472112662E+02    2.7623126400944409E-01    3.7297988649364267E-01
    1.0526896103698445E+02    2.7514589533278322E-01    3.7230506124179391E-01
    1.0526948735284226E+02    2.7365020488314046E-01    3.7137600401074239E-01
    1.0527001366870007E+02    2.7320763212492288E-01    3.7104029428261665E-01
    1.0527053998455789E+02    2.7159682947821984E-01    3.6980562837834691E-01
    1.0527106630041570E+02    2.7113267907461430E-01    3.6945152808139786E-01
    1.0527159261627351E+02    2.7068275037463396E-01    3.6910831783362663E-01
    1.0527211893213132E+02    2.7025202006418997E-01    3.6878188137266332E-01
    1.0527264524798913E+02    2.6983877544534851E-01    3.6846990647598160E-01
    1.0527317156384694E+02    2.6943741861780895E-01    3.6816705020239787E-01
    1.0527369787970476E+02    2.6904660954530746E-01    3.6787198915246877E-01
    1.0527422419556257E+02    2.6866697919201760E-01    3.6758542772132818E-01
    1.0527475051142038E+02    2.6829964807756768E-01    3.6730839332692222E-01
    1.0527527682727819E+02    2.6794458096546325E-01    3.6704074450878332E-01
    1.0527580314313600E+02    2.6760189406415102E-01    3.6678255393280068E-01
    1.0527632945899381E+02    2.6727166684551618E-01    3.6653387114168984E-01
    1.0527685577485163E+02    2.6695393281398483E-01    3.6629471392357899E-01
    1.0527738209070944E+02    2.6779884983942848E-01    3.6678304036719978E-01
    1.0527790840656725E+02    2.6750567297403871E-01    3.6656299356277700E-01
    1.0527843472242506E+02    2.6722526080800413E-01    3.6635238719642088E-01
    1.0527896103828287E+02    2.6691497028539762E-01    3.6610389588514869E-01
    1.0527948735414068E+02    2.6654282077923247E-01    3.6578187978766574E-01
    1.0528001366999850E+02    2.6624049931226779E-01    3.6553344418889272E-01
    1.0528053998585631E+02    2.6596804312075689E-01    3.6531438440378194E-01
    1.0528106630171412E+02    2.6571365017744741E-01    3.6511174142705510E-01
    1.0528159261757193E+02    2.6609976794307039E-01    3.6539809134961188E-01
    1.0528211893342974E+02    2.6569256220260867E-01    3.6502147158742720E-01
    1.0528264524928757E+02    2.6541873886476103E-01    3.6478939704720559E-01
    1.0528317156514538E+02    2.6519048782302290E-01    3.6460494099767660E-01
    1.0528369788100319E+02    2.6551643754922455E-01    3.6477014942218289E-01
