 R, U, AoA, Re, Tangential_Force, Axial_Force
    2.5714000000000001E+00    9.8766810593028129E+00    1.7386271595771465E+01    1.3795117267588845E+06   -5.6506795085392476E+01    1.0726528396716797E+02
    4.7142999999999997E+00    1.2124313265791974E+01    2.1185276515996890E+01    1.7175668942435398E+06   -1.2111971494935391E+02    1.2565363521729614E+02
    6.8571000000000000E+00    1.5019131651464164E+01    1.0611636197515077E+01    2.4048178401286206E+06   -3.0351451501164541E+02    2.1672412913420689E+02
    9.0000000000000000E+00    1.8149074334048908E+01    1.2798938015521978E+01    3.4064377210374000E+06    4.7831860570029545E+02    1.2930670651342912E+03
    1.1142899999999999E+01    2.1542604595731895E+01    7.6584119971665396E+00    4.6358490207745750E+06    7.1171751344453912E+02    1.8655441997923961E+03
    1.3285700000000000E+01    2.5123052627985000E+01    4.4255995031208624E+00    6.0061881350778658E+06    5.6498476332235509E+02    1.8412250945354012E+03
    1.5428599999999999E+01    2.8771056633767422E+01    2.0004387515551301E+00    6.6553212654212601E+06    2.6008006481484574E+02    1.2297859650494784E+03
    1.7571400000000001E+01    3.2506901522424592E+01    4.0718907777689684E-01    7.0981030737052020E+06   -1.0420721108970344E+01    6.0922124474404950E+02
    1.9714300000000001E+01    3.6195655133847310E+01   -3.4218769426757745E-01    7.4367799841225399E+06    1.2927330967394801E+02    9.9993782820023205E+02
    2.1857099999999999E+01    3.9909367405749087E+01    3.6159351958029734E-01    7.6848123264906118E+06    2.9326438653995700E+02    1.8234728882158415E+03
    2.4000000000000000E+01    4.3634450906326677E+01    1.0261235060215124E+00    7.8366921419413714E+06    3.9380079963425078E+02    2.5778931469289510E+03
    2.6142900000000001E+01    4.7345637125522330E+01    1.4056828028780182E+00    7.8923359575754665E+06    6.0455924118287612E+02    3.6013966512131774E+03
    2.8285699999999999E+01    5.1092124007195849E+01    1.8548707489287164E+00    7.8578232950821584E+06    6.5640248808114245E+02    4.2754786108065609E+03
    3.0428599999999999E+01    5.4867023413252511E+01    2.2375765733541897E+00    7.7306823122315034E+06    4.4103167238145886E+02    3.2921279686780445E+03
    3.2571399999999997E+01    5.8648913525349990E+01    2.6188128273393381E+00    7.5033215629202789E+06    4.7074935745186525E+02    3.7220540846021695E+03
    3.4714300000000001E+01    6.2437681398046443E+01    2.9127529176435121E+00    7.1828157036861246E+06    5.0166675594425942E+02    4.1073111017967021E+03
    3.6857100000000003E+01    6.6224997361002735E+01    3.0798516214748517E+00    6.7647404760916559E+06    4.7804582455201165E+02    4.1235994857327423E+03
    3.9000000000000000E+01    7.0011853444230965E+01    3.1847122847651743E+00    6.2438095451226551E+06    4.2863191142076175E+02    3.8866240256402825E+03
    4.1142899999999997E+01    7.3817562034820199E+01    3.4058386950399826E+00    5.6313020899569355E+06    3.7614211991989453E+02    3.4736411062019711E+03
    4.3285699999999999E+01    7.7621894523535488E+01    3.4494463484222613E+00    4.9204132219924880E+06    2.7884827600253129E+02    2.6496875808326549E+03
    4.5428600000000003E+01    8.1422309976680879E+01    3.3767540690089377E+00    4.1056903768566912E+06    1.4237170303342586E+02    1.4027800420176195E+03
    4.5930000000000000E+01    8.2309535926428524E+01    2.7938516786701841E+00    2.9815398290103250E+06    1.5519114614960422E+01    1.5615739835033744E+02
    4.6500000000000000E+01    8.3318483651562417E+01    1.2984780458944987E+00    5.7160763375862953E+03    0.0000000000000000E+00    0.0000000000000000E+00
