 time, thrust_1, blade_torque_1, blade_root_bending_1,thrust_2, blade_torque_12 
 blade_root_bending_2,thrust_3, blade_torque_3, blade_root_bending_3
    1.0526317156254851E+02    4.7350928116256546E+04    1.9049405797310080E+05    1.4375898722663845E+06    4.7712863948513106E+04    1.9110433770989996E+05    1.4435064268469994E+06    4.6525047986941921E+04    1.8265964241570054E+05    1.4144479450671531E+06
    1.0526369787840632E+02    4.7275299092215530E+04    1.8965443924395790E+05    1.4357441416509703E+06    4.7619933117620290E+04    1.8979285693615407E+05    1.4414695676306034E+06    4.6561171708120506E+04    1.8383921645549661E+05    1.4142829292311445E+06
    1.0526422419426413E+02    4.7208963804597079E+04    1.8899085780563534E+05    1.4340171072053718E+06    4.7535299219668850E+04    1.8878537872301595E+05    1.4394421682153805E+06    4.6569193595298195E+04    1.8448728308218045E+05    1.4137415732393500E+06
    1.0526475051012194E+02    4.7148907645902982E+04    1.8844286483643122E+05    1.4323739257033183E+06    4.7461396354839380E+04    1.8800868361277552E+05    1.4375477517650409E+06    4.6558085485767217E+04    1.8476764845667864E+05    1.4129484916917861E+06
    1.0526527682597975E+02    4.7092804894018424E+04    1.8797055227540908E+05    1.4307858473201073E+06    4.7394742880935126E+04    1.8737967246937158E+05    1.4357508280187005E+06    4.6536823667866222E+04    1.8483679564254399E+05    1.4120226401691900E+06
    1.0526580314183757E+02    4.7039419939899322E+04    1.8754790417348893E+05    1.4292382419550449E+06    4.7333033066959222E+04    1.8684813918819904E+05    1.4340230323602399E+06    4.6380071767668065E+04    1.8347623665519015E+05    1.4083315838466189E+06
    1.0526632945769538E+02    4.6980848091523098E+04    1.8702045763742432E+05    1.4276294304011895E+06    4.7268053651451337E+04    1.8624777647631115E+05    1.4322579909443425E+06    4.6360653938938631E+04    1.8357528743807960E+05    1.4074377779682181E+06
    1.0526685577355319E+02    4.6926204923572797E+04    1.8656426673405984E+05    1.4260789601692359E+06    4.7207730863857134E+04    1.8573628330747926E+05    1.4305608139332337E+06    4.6334511908550383E+04    1.8353462566651459E+05    1.4064593710889323E+06
    1.0526738208941100E+02    4.6873871967180210E+04    1.8615342311450609E+05    1.4245551927941761E+06    4.7150738297442418E+04    1.8528538145009347E+05    1.4289154924503332E+06    4.6304168743647817E+04    1.8340337100940658E+05    1.4054311829481192E+06
    1.0526790840526881E+02    4.6822672219697204E+04    1.8577075914293283E+05    1.4230325175105869E+06    4.7096067261170014E+04    1.8487516179235710E+05    1.4273084879283162E+06    4.6271260690165909E+04    1.8321370890641303E+05    1.4043759841081831E+06
