 R, U, AoA, Re
    2.5714000000000001E+00    1.0187437063545211E+01    1.5474457161331893E+01    1.4227032882160186E+06
    4.7142999999999997E+00    1.2515672824687394E+01    2.0094208313819806E+01    1.7727434135528600E+06
    6.8571000000000000E+00    1.5446753080252066E+01    1.0020664586435219E+01    2.4729177900993763E+06
    9.0000000000000000E+00    1.8477646232534060E+01    1.3360665045988673E+01    3.4681285619894923E+06
    1.1142899999999999E+01    2.1909702842732788E+01    8.6163440155584166E+00    4.7150190659732260E+06
    1.3285700000000000E+01    2.5450828422802157E+01    5.1739273252133948E+00    6.0846717286054371E+06
    1.5428599999999999E+01    2.9061449204353778E+01    2.5792099192457560E+00    6.7226001453799577E+06
    1.7571400000000001E+01    3.2303866337890838E+01    8.5685024541371158E-01    7.0541464019214101E+06
    1.9714300000000001E+01    3.5988666170098263E+01    1.1813664300203537E-01    7.3946207165375547E+06
    2.1857099999999999E+01    3.9697872117607233E+01    8.3268314041633729E-01    7.6447443480367195E+06
    2.4000000000000000E+01    4.3425532317756378E+01    1.4964826031152407E+00    7.7995243548520263E+06
    2.6142900000000001E+01    4.6974876956034706E+01    1.5142241389819198E+00    7.8307317323592026E+06
    2.8285699999999999E+01    5.0734826467801255E+01    2.0444838201270858E+00    7.8031904862133665E+06
    3.0428599999999999E+01    5.4502560127651194E+01    2.4150978947319812E+00    7.6797620348801296E+06
    3.2571399999999997E+01    5.8276250649450901E+01    2.7230360653822192E+00    7.4559134834368480E+06
    3.4714300000000001E+01    6.2104420278969947E+01    2.9479099121529950E+00    7.1428224365279619E+06
    3.6857100000000003E+01    6.5887157436073991E+01    3.0435979864427458E+00    6.7283681809424954E+06
    3.9000000000000000E+01    6.9785219906646262E+01    3.7547142746995563E+00    6.2233875738587612E+06
    4.1142899999999997E+01    7.3615181018333459E+01    3.8839188071438588E+00    5.6167080443447633E+06
    4.3285699999999999E+01    7.7400813546481515E+01    3.7422156618353988E+00    4.9071256107367687E+06
    4.5428600000000003E+01    8.1189343054517423E+01    3.5497746669434522E+00    4.0944544563317243E+06
    4.5930000000000000E+01    8.2076142952526737E+01    2.9454066086762931E+00    2.9734493155716937E+06
    4.6500000000000000E+01    8.3084423217366435E+01    1.4261247448618468E+00    5.7007144493042115E+03
